step,phase,sent_length,source,prob,initial_state_prob_class,sentence,sentence_id,avg_response
256,early,medium,MH,-21.447906,low,His politically motivated opponents wanted to make this clear by promising to remain neutral in a changed world.,13_7_13,85
256,early,medium,MH,-15.713144,low,It is designed to increase government efficiency allowing new government tasks to be related to their existing tasks.,1434777_6_13,85
1024,early,short,MH,-12.541899,high,A tower once occupied the center octagon.,5_4_102,85
4096,early,medium,MH,-13.248385,high,"1,401 people are employed in the secondary sector and there are 246 businesses in this sector.",1472874_0_215,85
9959,late,short,gibbs,-11.826168,low,You're supposed to always fight this battle.,0_6_995,85
19959,late,short,gibbs,-6.195445,low,He did not stand in the 1924 general election.,1_3_1995,85
49559,late,long,MH,-18.748493,low,"Socializes regularly with other mixed race African Americans outside of Exxon headquarters, and produces the Altoona Radio & Television ins & outs newsletter, an armed forces payday newsletter.",1114426_5_1415,85
24623,late,medium,gibbs,-26.236677,low,"House visited selected universities, including the University of Tennessee - Appalachia and UC Santa Barbara.",0_6_1295,84.9090909090909
0,wiki,short,wiki,-25.47240447998047,high,The project is owned by Aviation Development Australia Limited.,40_0_0,84.83333333333333
2,early,long,gibbs,-29.207157,high,"He has also been praised as a man of unquestionable character and has been singled out for his humble spirit, self-effacing manner, and humanitarianism.",9_0_0,84.8
64,early,long,MH,-25.644533,high,"With its high retail price, the novel has become a best-seller, but soon a second edition will be released less than one year after it first appeared in bookstores.",1873167_5_1,84.8
0,wiki,long,wiki,-56.38375854492188,high,"The occupant is a mysterious princess whose name has never been recorded in any historical documents, and who appears in Yung-chʻien's recurring dreams.",4_0_0,84.78571428571429
4,early,medium,MH,-21.310354,high,This company acquired all the water-bearing lands in the valley and began producing artesian wells.,1053450_4_0,84.75
8,early,long,MH,-27.108654,high,"During the previous years, the station broadcast at a full-time power of 1,000 watts, day and night, switching to a directional antenna pattern during the nighttime hours.",28_6_0,84.75
16,early,medium,MH,-24.253855,high,"The year 1526 in science and technology included several events, some of which are listed here.",16_4_0,84.75
32,early,long,MH,-67.0529,low,"By the 1960s the British broadcast industry had abandoned the Blaw-Crafts design for a new type of narrow, uniform square section radio mast, which had somewhat better radiation resistance.",1329856_0_0,84.75
0,wiki,short,wiki,-40.03321075439453,low,World Publications was renamed Bonnier Corporation in 2007.,36_0_0,84.73333333333333
1,early,short,MH,-33.442535,low,This institute was instrumental in the international radiation research.,3_1_0,84.66666666666667
32,early,long,MH,-20.947538,high,"However, in the fourth and deciding round, Martinez was knocked down and again stopped by a series of strikes by Alvarado, which forced the referee to end the fight.",480032_3_0,84.66666666666667
32,early,short,gibbs,-11.136657,low,They are also represented by the New Democrat party.,3_7_3,84.66666666666667
19959,late,short,GSN,-4.5720806,high,The voice came from beyond the tumult.,5_3_1995,84.66666666666667
1,early,short,GSN,-41.925007,low,The production of Latvian euros began in late 2013.,406112_4_0,84.6
4,early,long,MH,-25.640543,high,"However, in the third and final round, Prescott was knocked down and then hurt by a series of strikes from Alvarado, which forced the referee to stop the bout.",480032_1_0,84.6
4,early,short,MH,-9.529029,high,"Apart from teaching, he used to write poetry.",7_2_0,84.6
128,early,medium,gibbs,-11.475798,high,He was given an envelope and told to put a runic inscription on the back of it.,9_5_6,84.6
37923,late,medium,GSN,-27.804848,low,"Radio Studio is a radio station located in Tomas Estequi, Buenos Aires, Argentina.",417512_4_1995,84.6
37923,late,medium,GSN,-10.607106,high,"Candles flickered, and music resounded from the other side of Idris's bedroom door.",2166262_6_1995,84.6
8,early,medium,GSN,-41.351612,low,It's a parade full of fans accompanied with the music of steel bands and local bands.,14_3_0,84.57142857142857
0,wiki,medium,wiki,-33.8421630859375,high,With his legal background he was a major influence on the first Danish Nature Conservation Act of 1917.,13_0_0,84.5
0,wiki,medium,wiki,-32.51250457763672,high,These individuals tended to be citizens who had influential contacts and whose good conduct was guaranteed by them.,36_0_0,84.5
1,early,long,MH,-89.775085,low,"The Home Depot division supports the product marketing, innovation, and operation of Andersen branded windows and patio doors sold through the retailer's over 2,000 locations in North America.",22_3_0,84.5
1,early,medium,gibbs,-62.738045,low,"Confirming this speculation, websense security labs identified additional sites using the exploit on January 19.",1_0_0,84.5
2,early,long,GSN,-35.925793,high,Lake Erie has fewer dissolved nutrients relative to its water volume than the other Great Lakes and so is less productive in terms of fish populations and instead an oligotrophic lake.,659772_4_0,84.5
4,early,long,MH,-83.50102,low,Empirical studies have shown a connection between a leader's tax policy and subsequent punitive electoral consequences as they represent a dramatic transfer of purchasing power by the taxpayer to the government.,23_6_0,84.5
64,early,short,gibbs,-27.803255,low,11 other civic organizations led protests against UPM.,0_0_6,84.5
16,early,long,gibbs,-23.287817,high,"Despite its low selling price, the book has been a best-seller, and soon its second edition will be published less than a year after it first appeared in bookstores.",9_7_0,84.47368421052632
0,wiki,medium,wiki,-5.910309791564941,high,The population density was 0.4 people per square mile (0.1/km²).,24_0_0,84.46153846153847
128,early,medium,MH,-36.23919,low,He is considered one of the premier individuals in the Irish contemporary political economy on a significant scale.,2661329_1_6,84.46153846153847
8,early,long,GSN,-105.570404,low,"As detailed in the conduct of their competitions, the primary metrics used for the racing teams are design, stability and lap time with cost and business presentation as other important events.",1355732_8_0,84.42857142857143
1,early,long,GSN,-19.536072,high,"The format was changed, with the top two teams in each group going through to a semi-final stage, instead of the winners of each group going straight into the final.",25_1_0,84.4
2048,early,long,MH,-31.699732,low,"Losing by a significant margin in the 1884 season's opener, Arthur Price, a badly injured first baseman, came back to offer his services for an 0-1 start.",20_1_58,84.4
0,wiki,long,wiki,-58.1245231628418,high,"It was later occupied by a senior citizens apartment complex, then declared a heritage building in 1982 and redeveloped as an office building by its owner, the Burns Lake Native Development Corporation.",35_0_0,84.375
0,wiki,long,wiki,-63.51420593261719,high,"Most of today's Van Tuyls and Van Tyles are descended from the two youngest boys, twins Abraham and Isaac, both of whom became farmers on Staten Island.",2_0_0,84.36363636363636
4,early,medium,MH,-24.630468,high,"The year 1529 in science and technology included many events, some of which are listed here.",16_2_0,84.33333333333333
64,early,short,MH,-5.607827,high,"In her career, she made over 300 appearances.",8_4_6,84.33333333333333
1024,early,long,MH,-27.07153,low,"As described below a creative industry may vary depending on how a company markets their products, which may be why a creative industry encourages information exchange when they are viewed as interchangeable.",24_7_29,84.33333333333333
19959,late,short,GSN,-7.611266,high,She covers her face with one of the pillows.,8_2_1995,84.25
8,early,long,GSN,-21.493961,high,"Despite its high cover price, the book has been a best-seller, and soon its second edition will be published less than a year after it first appeared in bookstores.",1873167_1_0,84.2
64,early,medium,MH,-22.654547,high,A number of Danube rivers have identical or very similar names that may pose a source of confusion.,18_2_3,84.14285714285714
1,early,medium,gibbs,-13.797546,high,"1,253 people are employed in the secondary sector and there are 292 businesses in this sector.",7_5_0,84.07142857142857
0,early,short,gibbs,-5.436755,high,The territory of the municipality is divided into parts.,9_0_0,84
1,early,long,GSN,-21.322515,high,"Despite the high cover price, the book has been a best-seller, and soon its second edition will be published less than a year after it first appeared in bookstores.",1873167_0_0,84
8,early,medium,MH,-22.090954,high,"After receiving her primary and secondary education, Schmidt enrolled in college where she majored in taxation.",17_8_0,84
8,early,short,MH,-14.878014,high,Sanders grew up with eight brothers and ten sisters.,780378_0_0,84
4096,early,medium,MH,-24.072065,low,The reforms have taken away the need for sanitation among peasantry who lacked water availability during drought.,2001773_5_215,84
14959,late,short,gibbs,-3.1760635,high,His voice is low and unintelligible.,5_3_1495,84
19959,late,short,GSN,-18.143778,low,"He is retired, we will meet him tomorrow.",1421311_7_1995,84
19959,late,short,GSN,-2.2865033,high,All i can do is talk to Dham.,5_8_1995,84
19959,late,short,GSN,-1.2907442,high,Roke didn't hold grudges.,5_6_1995,84
19959,late,short,MH,-12.569794,low,Lesbian and gay recording artists featured DiMartino.,932629_6_1995,84
34859,late,long,gibbs,-38.40541,high,"The second representative, jean oliveira, who failed to take part, advanced to the semi-finals against the defending champion minas gerais state on the second tiebreak on polling day.",5_8_995,84
46059,late,long,GSN,-45.630028,high,"LTC also professionally markets its 11,904 products (excluding Kusuyu Geothermal spark plug products) to ""LTC Kusuyu Oil and Gas Supplier"".",1435210_5_1315,84
53059,late,long,GSN,-7.7081137,high,"We sit that way, side by side for a long while, before she asks, ""What's wrong?"" I rectify my concern by pulling her closer.",29_6_1515,84
0,wiki,short,wiki,-11.840860366821287,high,It supplements its diet with occasional insects and fruit.,49_0_0,83.94736842105263
2,early,long,gibbs,-39.352806,high,Lake Superior has fewer dissolved nutrients compared to its water volume than the other great lakes and so is less productive in terms of fish populations and hence an oligotrophic lake.,7_3_0,83.9090909090909
0,wiki,short,wiki,-42.61017608642578,low,The broadcast was titled Spice Girls In Concert: Wild!,23_0_0,83.88888888888889
32,early,medium,gibbs,-40.78132,low,"Following the dissolution, biosense have officially launched two services in the UK on the web.",1_5_1,83.88888888888889
27948,late,medium,gibbs,-6.290146,low,He squirms like he has forgotten his manners until she kisses him on the cheek.,2_6_1470,83.88888888888889
64,early,medium,MH,-10.940348,low,"On September 18, the volcano's most recent eruption released an ash plume into the air.",12_6_3,83.85714285714286
1,early,medium,gibbs,-18.893219,high,"After receiving both primary and secondary education, schmidt enrolled in college where she majored in journalism.",7_5_0,83.83333333333333
16,early,long,GSN,-36.835075,high,"At the lower border of the piriformis muscle, the base turns downward and divides into upward and downward diverging branches, which enter the gluteus muscles.",27_5_0,83.83333333333333
19859,late,short,GSN,-3.98341,low,"It was conceivable, I suppose.",932629_1_1985,83.83333333333333
28328,late,medium,gibbs,-52.531536,low,"In 921, the monastic brotherhood founded the Ruskin gothic church in Torgau, Hungary.",4_3_1490,83.82352941176471
2,early,medium,GSN,-70.86517,low,"On June 12, the planet’s first spectacular eruption sent an ash column into the atmosphere.",12_4_0,83.8
9959,late,short,gibbs,-5.218719,high,The length of the forewings is about 28mm.,7_2_995,83.8
0,early,long,gibbs,-83.60022,low,"As shown above, creative industry may differ based on how the government defines its scope, which will impact how a creative economy is viewed, therefore both are seen as dynamic concepts.",4_0_0,83.75
2,early,medium,GSN,-14.844448,high,"Hill had always dreamed of writing plays, and she began writing and acting in her teenage years.",595107_8_0,83.75
2,early,short,MH,-45.028522,low,Ali Marpet's mother is Joy Bloomfield.,1367427_4_0,83.75
4,early,long,gibbs,-95.40213,low,"Trailing by a vital score in the next day's game, Nate Kellogg, a newly acquired second baseman, moved over to pitch in relief in the 10–2 loss.",0_8_0,83.75
16,early,long,MH,-20.16984,high,"The format also changed, with the top 4 teams in each group going through to a semi-final stage, instead of the winners of each group going straight into the final.",25_8_0,83.75
128,early,long,MH,-33.325554,low,"By the 1960s the welded steel industry had abandoned the Blaney lattice mast for a new type of flat, uniform cross section lattice mast, which had a low viewing angle.",1329856_3_3,83.75
32,early,medium,MH,-40.457336,low,"Confirming this claim, Websense security labs identified four attackers using the exploit on August 7th.",11_4_1,83.66666666666667
53059,late,long,GSN,-54.864197,low,"In 2012, he and his wife, Suzy Roberts, convinced Ydue to change his stage name to James Christopher Perray. James Christopher Roberts was born in Tallahassee.",20_6_1515,83.66666666666667
69859,late,long,gibbs,-33.168938,low,"She was also his assistant in Bihar, Andhra Pradesh, Vaishali district and in the states of Bundelkhand and Orissa, but was mainly involved in urban work.",0_5_1995,83.63636363636364
0,wiki,long,wiki,-51.18399810791016,high,"Several nations modified their existing tactics in ways that supported ideas that were later called infiltration tactics, with the German developments having the most impact, both during the war and afterwards.",36_0_0,83.6
2,early,long,GSN,-95.04802,low,"By the 1970s the AM broadcast industry had abandoned the Blaw-Knox design for the modern type of narrow, uniform cross section lattice mast, which had a better radiation pattern.",1329856_8_0,83.6
128,early,short,MH,-8.151335,high,A total of 21 teams were invited to tournament.,1371762_8_12,83.6
1024,early,long,GSN,-23.397465,low,"While crime rates remain low throughout the fiscal year, criminal investigations are conducted from east to west, with the rates increasing in terms of suspicion, substance abuse, and drug use.",1355732_0_29,83.57142857142857
512,early,long,gibbs,-35.372803,high,"During the early 1970s, the station operated on a low-power frequency of 1,250 watts, day and nighttime, obeying a directional antenna installed on its transmitter tower.",8_0_14,83.55555555555556
0,wiki,long,wiki,-63.546234130859375,high,"Beginning in 1904, the Deering Coal Mine Company took Franklin County and West Frankfort from no coal production in 1900 to being the #1 coal producer in Illinois by 1917.",46_0_0,83.53333333333333
1,early,medium,MH,-20.570366,high,This company purchased all the water-bearing lands in the valley and began producing artesian wells.,1053450_2_0,83.5
512,early,medium,MH,-15.369297,high,This growth rate was stable until the early 1990s and slowly slows down as sweet potatoes grow.,2166262_6_26,83.5
8192,early,short,GSN,-0.9258152,low,They were telling us everything we needed to know.,2_6_819,83.5
19959,late,short,GSN,-26.797102,high,The nagan class fleet consisted of eight battleships.,7_0_1995,83.5
19959,late,short,GSN,-0.9481404,high,United States National Science Foundation (NSF).,1359180_7_1995,83.5
19959,late,short,MH,-15.132487,high,Six senior UFC fighters attended Huerta tryouts.,717691_7_1995,83.5
37923,late,medium,gibbs,-9.383748,low,"Giffard is married to Kathleen Bowden, a veterinarian and parasitologist.",0_1_1995,83.47058823529412
16,early,short,gibbs,-19.544123,low,Israeli defense forces units have operations in Jaffa.,0_8_1,83.44444444444444
0,wiki,long,wiki,-38.71474075317383,high,"Sweelinck, however, influenced the development of the Dutch organ school, as is shown in the work of later composers such as Anthoni van Noordt.",26_0_0,83.42857142857143
19959,late,short,gibbs,-0.0069783507,low,It is found in Central America and North America.,3_2_1995,83.36842105263158
4,early,medium,MH,-25.286522,high,"She has earned international recognition for her experimental, documentary, animation, and cross-genre productions.",15_0_0,83.33333333333333
16,early,short,MH,-9.932808,high,"Food was running low, and nights grew colder.",6_1_1,83.33333333333333
32,early,medium,MH,-33.28997,low,Their families eagerly took up the opportunity of recovering their lost village and their own future in it.,2001773_2_1,83.33333333333333
256,early,short,MH,-5.930264,high,"Food was running low, and nights were dark.",6_8_25,83.33333333333333
24623,late,medium,GSN,-20.33671,high,They defeated al-Hilal in the division and advanced to the final in Emirati Cup.,15_0_1295,83.33333333333333
1,early,long,gibbs,-83.60022,low,"As shown above, creative industry may differ based on how the government defines its scope, which will impact how a creative economy is viewed, therefore both are seen as dynamic concepts.",4_0_0,83.3
1,early,medium,gibbs,-7.577793,high,"She had always dreamed of writing plays, and she began writing and acting in her teenage years.",9_1_0,83.26666666666667
512,early,long,GSN,-48.423508,high,"However, in the 11th round a boxer from Italy was knocked down and also surrendered after a series of remarks by Alvarado, who allowed the referee to stop the bout.",480032_2_14,83.25
1,early,long,GSN,-112.70369,low,"As suggested by the name of their competitions, the primary metrics used for the strength teams are design, acceleration and lap time with cost and business presentation as other important events.",1355732_9_0,83.2
2,early,short,GSN,-14.69655,high,The main structure is a half octagon.,5_6_0,83.2
4,early,long,MH,-31.946053,high,"At the lower border of the piriformis muscle, the nerve turns backward and divides into upward and downward diverging branches, which tap the gluteus maximus.",27_1_0,83.2
2048,early,long,GSN,-45.137524,high,"Despite appearing in the semi-finals of the tournament he was defeated in the second round of qualifying by Kaspar Friduin, who was himself a member of the ATP.",480032_5_58,83.2
128,early,short,MH,-12.262324,low,John Horner's wife was named Caroline.,1367427_6_12,83.16666666666667
256,early,short,gibbs,-30.84322,high,The general was nearly killed by the iron rangers.,5_6_25,83.13333333333334
37923,late,medium,gibbs,-15.101954,high,"She could tell Emerson was repurposed, flustered, and a bit queasy.",5_2_1995,83.1
1,early,long,gibbs,-93.384674,low,"The Home Depot division supports the product marketing, innovation, and selling of Andersen branded windows and patio doors sold through the group's over 2,000 locations in North America.",2_4_0,83.0909090909091
28423,late,medium,gibbs,-16.662498,low,"Abbie Irene Richardson was born in London, and her mother was Ottilie Grace Richardson.",0_3_1495,83.07692307692308
2,early,medium,gibbs,-77.648796,low,"It also launched the Great Dickens Christmas Fair of San Francisco, an indoor event, in 1970.",0_9_0,83
4,early,long,gibbs,-35.056908,high,"At the lower border of the piriformis muscle, the nerve shifts backward and divides into upward and downward diverging branches, which enter the gluteus maximus.",7_6_0,83
4,early,long,MH,-82.92363,low,"As shown above the creative industry may differ based on how the company defines its scope, which will impact how a creative economy is viewed, therefore both are seen as dynamic concepts.",24_4_0,83
4,early,medium,GSN,-9.54165,high,Asparagine usually enters the citric acid cycle in humans as oxaloacetate.,248289_2_0,83
8,early,medium,MH,-49.911507,low,It's a parade full of colour accompanied with the music of steel drums by local artists.,14_1_0,83
64,early,long,MH,-16.00033,high,"It is designed to house inmates arrested in the immediate vicinity, with the exception of misdemeanors arrested in the city of Las Vegas, which has its own prisons.",1435210_1_1,83
64,early,short,GSN,-39.391922,low,The lead troop would be starting through central China.,586520_6_6,83
128,early,medium,GSN,-35.835358,high,"The HS version was made for the first time, but slows down as genetic abnormalities occur.",2166262_4_6,83
1024,early,medium,GSN,-50.798157,high,"8,400 workers are engaged in primary employment, and 40,000 remain in marginal services.",1472874_3_53,83
37923,late,medium,GSN,-4.7606707,low,"I rushed to let them know I was okay, but none of them offered condolences.",14_0_1995,83
62859,late,long,GSN,-21.676315,low,"""You won't sit down and gloat too much, will you, my dear?"" at her prodding, he moved to take a seat beside Gia.",1114426_9_1795,83
67059,late,long,GSN,-24.364182,low,"It has been taken care of by those ancestors who worked diligently, and if we are willing to use what stormfather has given us it is worth a try.",1114426_5_1915,83
69859,late,long,gibbs,-21.087658,high,"He has also written and recorded renditions of ""Peter Rabbit"" (the opening theme), ""School Daze"" and ""Sprinkle Like a Light"" as well.",8_7_1995,83
8,early,short,gibbs,-9.307092,high,"Over her career, she made over 300 films.",8_7_0,82.88888888888889
8,early,long,MH,-72.24062,low,"As shown above, creative industry may differ based on how the government defines its scope, which will influence how a creative economy is viewed, therefore both are seen as separate concepts.",24_1_0,82.85714285714286
1,early,short,MH,-13.565044,high,"Apart from teaching, he used to write novels.",7_1_0,82.8
8,early,short,MH,-24.848053,low,Four specialized research offices conduct research at KTO.,0_7_0,82.8
512,early,medium,gibbs,-20.530087,high,"Only one of these affects tectonics and consumption, while the other is subject to fluctuations.",8_7_26,82.8
2048,early,long,GSN,-54.236286,high,"It was published after she was given an extensive search report, labeling a list of misdemeanors (including ones involving her parents), appearing in it several times.",1435210_8_58,82.8
37923,late,medium,GSN,-8.413045,low,The river rises in a small valley in Kawabata district in Shizuoka prefecture.,11_5_1995,82.8
0,early,long,gibbs,-29.207157,high,"He has also been praised as a man of unquestionable character and has been singled out for his humble spirit, self-effacing manner, and humanitarianism.",9_0_0,82.77777777777777
69859,late,long,GSN,-49.74745,high,"Least closely connected with Sweden's first prime minister Kristian Scheffler, he was one of the main post-boss perpetrators of the Swedish social-democratic party.",25_9_1995,82.77777777777777
1,early,medium,gibbs,-26.755455,low,"On June 12, the volcano's first spectacular eruption sent an ash column into the atmosphere.",2_0_0,82.75
2,early,short,GSN,-17.197823,high,About 170 campers visit the camps each week.,717691_0_0,82.75
4,early,short,gibbs,-18.247826,high,"Time was running short, and winters were colder.",6_0_0,82.75
19959,late,short,GSN,-23.034735,high,Cam walked up in front of Connor and Marissa.,9_8_1995,82.75
19959,late,short,MH,-10.737896,low,However both stations share tracks from northeast to southwest.,586520_2_1995,82.75
37448,late,medium,gibbs,-14.93953,high,"""Yup,"" his boss, as well as other members, said with a smile.",9_9_1970,82.75
2,early,medium,MH,-67.71187,low,"On June 12, the volcano’s second spectacular eruption sent an ash column into the atmosphere.",12_4_0,82.71428571428571
14959,late,short,gibbs,-8.088935,low,It serves as the community's entertainment venue.,4_5_1495,82.6875
8,early,medium,gibbs,-10.015329,high,"She has always dreamed of writing poetry, and she began singing and acting in her teenage years.",9_2_0,82.6842105263158
4,early,long,GSN,-28.663528,high,"In 1513, Balboa reached the Isthmus of Panama, and led the first European explorer to explore the Pacific ocean from the west coast of the new world.",26_9_0,82.66666666666667
8,early,short,MH,-22.771255,low,"In such cases, they settle into the cage.",1_5_0,82.66666666666667
19859,late,short,GSN,-14.958837,low,Turning around I wave at the man in black.,1_3_1985,82.66666666666667
19959,late,short,MH,-6.329741,high,"Embassy in Canberra, Australia handles almost all matters.",8_1_1995,82.66666666666667
37923,late,medium,GSN,-44.59233,low,"Many of these dams use EVA, rain (or air waterproofing) for safety purposes.",417512_6_1995,82.66666666666667
27473,late,medium,gibbs,-5.4625726,high,"The lilithians stared at him, his impetuous aphorisms ringing in their ears.",5_1_1445,82.625
8,early,short,GSN,-11.723871,high,"Apart from work, he continued to write poems.",7_6_0,82.6
16,early,medium,GSN,-20.043083,high,A number of Scottish dialects have identical and very similar names which can be a source of confusion.,18_8_0,82.6
37923,late,medium,GSN,-12.444029,low,Nottingham Forest eventually won their next game 2-1 and guaranteed them a semi-final place.,2661329_5_1995,82.6
0,wiki,medium,wiki,-42.45269012451172,low,"The four teams from the previous two rounds, plus Spain and Samoa, competed in a tournament.",30_0_0,82.57142857142857
128,early,short,GSN,-16.103271,low,Our timetables must be working in his favor.,586520_6_12,82.57142857142857
999,early,short,gibbs,-12.86862,high,I looked back before i got to the door.,7_8_99,82.5
69509,late,long,gibbs,-68.25162,high,"Among the Romani archives online there are four volumes of the great Jacobite chronicle, from 1925 to 1930 edited by ""Sigmund Zoltan"" and Hans Klaver.",9_6_1985,82.42857142857143
32,early,medium,GSN,-22.750366,low,It's a room full of people interacting with the music of bamboo sticks and brass instruments.,14_4_1,82.4
4,early,medium,gibbs,-7.5520167,high,"She has always dreamed of writing plays, and she began writing and acting in her teenage years.",9_3_0,82.38888888888889
2048,early,medium,MH,-16.044949,high,A variety of zodiac signs have ancient or currently unknown origins and can be a piece of puzzle.,18_3_107,82.375
28423,late,medium,gibbs,-12.36975,high,The song was composed by Zdenek Jellinek and it became one of his singles.,8_6_1495,82.36363636363636
0,wiki,long,wiki,-74.68006134033203,low,"Extremely low temperatures are useful for observation of quantum mechanical phases of matter such as superfluids and Bose–Einstein condensates, which would be disrupted by thermal motion.",28_0_0,82.29411764705883
32,early,long,MH,-55.49093,low,"As mentioned above, creative industry tools are based on how a government defines its policy, which will influence how a creative economy is implemented and therefore these are seen as separate domains.",24_1_0,82.25
64,early,long,GSN,-33.219673,high,"After serving the next several months in an Illinois prison, she was returned to the custody of her husband, Carroll, who she was stunned to discover was still very much alive.",41022_2_1,82.25
4096,early,short,GSN,-30.573368,high,Alex Leone is a former Keroun swimmer.,6_8_409,82.25
4096,early,short,GSN,-5.8457117,high,The genus is named after Hermann Hofmann.,717691_3_409,82.25
37923,late,medium,gibbs,-13.881173,low,It was at the boundary between the Brazilian states of Espirito Santo and Porto Alegre.,1_3_1995,82.22222222222223
16,early,medium,MH,-43.205276,low,It's a village band of africans accompanied by the music of steel drums by local artists.,14_3_0,82.2
32,early,long,GSN,-38.685448,high,"Until the early 1970s, the station operated with a full-time power of 50,000 watts both day and night, switching to a directional power station for the nighttime hours.",28_8_0,82.2
4,early,short,MH,-5.436764,high,The territory of the municipality is divided into parts.,9_0_0,82.16666666666667
19959,late,short,GSN,-15.48134,low,The hospital consists of a 14-floor tower.,2_2_1995,82.16666666666667
2,early,short,GSN,-43.919125,low,His institute is instrumental in the international radiation research.,3_1_0,82.14285714285714
0,wiki,short,wiki,-19.97682380676269,high,Jack and Eric team up to disrupt the party.,25_0_0,82.125
9959,late,short,gibbs,-10.804977,low,She'd mentioned him several times that night.,4_3_995,82.11111111111111
0,early,long,gibbs,-87.52104,low,Empirical studies have established a connection between a leader's tax policy and subsequent punitive electoral consequences as they represent a permanent transfer of purchasing power by the taxpayer to the government.,3_0_0,82.1
0,wiki,short,wiki,-20.66905212402344,high,Nathan and Giuliani formed an ongoing relationship.,19_0_0,82
1,early,medium,GSN,-20.376741,high,Asparagone usually enters the citric acid cycle in humans as oxaloacetate.,248289_7_0,82
4,early,long,MH,-115.12444,low,"As suggested by the name of their competitions, the primary metrics used for 120 formula teams are design, acceleration and lap times with cost and business presentation as other important events.",1355732_5_0,82
8,early,medium,GSN,-29.017605,high,"She has earned international acclaim for her experimental, theater, animation, and multi-media productions.",15_5_0,82
16,early,long,gibbs,-30.982727,high,"However, in the tenth and final round, Prescott was knocked down and soon threatened by a series of blows from Alvarado, which forced the referee to stop the fight.",8_8_0,82
32,early,short,gibbs,-16.921352,low,Karcher's book inspired WM.,2_4_3,82
256,early,medium,MH,-24.296743,low,Against this background the Cybersense security institute patented new methods of identity identification on the internet.,11_6_13,82
4096,early,long,GSN,-47.40457,high,"After making phonograph records as a teenager, Marshall signed on to Spokane radio station WSVTS where he worked for for two years with a focus on country music.",41022_4_117,82
4096,early,short,GSN,-10.41079,high,A chance to explore her wild quirks tonight.,5_3_409,82
4096,early,short,MH,-7.1842027,low,Chinese communist trade unions seized power in Shangrao.,0_1_409,82
256,early,short,gibbs,-14.481656,high,Since that time the group have won several championships.,8_9_25,81.88888888888889
256,early,long,MH,-24.365381,high,Lake Winnipeg provides less significant nutrients relative to the water table than the other major lakes and therefore is less productive in terms of fish population and is an oligotrophic lake.,659772_6_7,81.85714285714286
28423,late,medium,GSN,-45.030846,high,(1943) The Xerox Reader was destroyed before the CNF could safely take it.,1053450_3_1495,81.85714285714286
19959,late,short,MH,-10.768196,high,The Academia Branco offers courses mostly in Portuguese.,717691_1_1995,81.83333333333333
32,early,medium,GSN,-55.731068,low,He is considered one of these rare specialists interpreting the early classical drummer movements on a theoretical level.,2661329_6_1,81.8
256,early,long,MH,-27.270615,high,"However, in the fifth and final round, Wilson was both stopped and seriously injured following a series of mistakes by Alvarado, which led the referee to stop the fight.",480032_4_7,81.8
9509,late,short,gibbs,-6.3972516,low,"She wanted to run, but she felt sick.",1_2_950,81.8
19659,late,short,GSN,-6.429111,low,Smolna river flows through Belorussia.,406112_7_1965,81.8
2,early,medium,gibbs,-21.319653,high,This company purchased all the nickel-bearing lands in the valley and began drilling artesian wells.,5_7_0,81.76923076923077
2,early,long,gibbs,-83.60022,low,"As shown above, creative industry may differ based on how the government defines its scope, which will impact how a creative economy is viewed, therefore both are seen as dynamic concepts.",4_0_0,81.75
16,early,long,MH,-20.47625,high,"In 1513, Balboa crossed the Isthmus of Panama, and made the first European expedition to traverse the Pacific ocean from the west coast of the new world.",26_2_0,81.75
37923,late,medium,GSN,-8.45207,low,"""So what's the deal?"" I ask and kind of keep bugging him.",13_3_1995,81.75
0,wiki,medium,wiki,-49.43074035644531,low,Many Swedish groups of the 1990s began to play a combination of D-beat with crust punk.,22_0_0,81.71428571428571
2,early,medium,gibbs,-9.5416565,high,Asparagine usually enters the citric acid cycle in humans as oxaloacetate.,8_1_0,81.71428571428571
8,early,long,GSN,-34.29541,high,"After spending the next several months in an Illinois hospital, Ellie was released into the care of her husband, John, who she was pleased to discover was still very much alive.",41022_4_0,81.71428571428571
4,early,short,MH,-23.37953,low,The production of 3000 euros started in July 2013.,406112_5_0,81.66666666666667
8,early,long,gibbs,-75.0878,low,"Pak features some of the most iconic and memorable styles in the music industry, ranging from her signature tail o'eye get-up, to her distinctive hair styles and clothing.",1_0_0,81.66666666666667
8,early,medium,MH,-13.944327,high,He was given an outline and told to write his name in pencil on the back of it.,19_0_0,81.66666666666667
512,early,medium,MH,-21.622156,low,"On August 22, the volcano's more recent eruptions released an oxygen bubble through the atmosphere.",12_0_26,81.66666666666667
2048,early,long,MH,-42.570633,low,"Since the 1970s the Norwegian broadcasting corporation adopts a Blomqvist tube instead of a connecting tube for small or very loud sounding mobile phones, and offers a wider technological range.",1329856_0_58,81.66666666666667
2048,early,short,MH,-17.06337,low,As of 2014 the centre had six unpaid volunteers.,2_3_204,81.66666666666667
19959,late,short,GSN,-11.244911,low,His pupils included Pierre Jean Baptiste Grimmelsheim.,3_8_1995,81.66666666666667
37923,late,medium,GSN,-10.3330765,low,"Diana, Princess of Wales (born 29 October 1963) is first lady of the United Kingdom.",14_3_1995,81.66666666666667
